index,A,A_s,B,B_s
564,1.403565271,0.142857143,-1.969338417,-0.142857143
565,1.340090615,0,-1.74374376,0
566,1.337770735,0,-1.604310717,0
567,1.010653836,0,-1.211250033,0
568,0.69214562,0,-0.807807377,0
569,0.221449988,0,-0.324509893,0
570,0,0,0,0
571,0,0,0,0
572,0,0,0,0
573,0,0,0,0
574,0,0,0,0
575,0,0,0,0
576,0,0,0,0
577,0,0,-0.252905539,0
578,0,0,-0.437570947,0
579,0,0,-0.43719152,0
580,0,0,-0.346754313,0
581,0,0,-0.114055191,0
582,0,0,0,0
583,0,0,0,0
584,0,0,0,-0.142857143
585,0,0,0,-0.285714286
586,0,0,0,-0.428571429
587,0,0,0,-0.571428571
588,0,0,-0.113851854,-0.714285714
589,0,0,-0.502678088,-0.857142857
590,0.289619344,0,-0.925192833,-1
591,0.68504279,0,-1.33300645,-0.857142857
592,0.973317146,0,-1.595654624,-0.714285714
593,1.178155082,0,-1.717095239,-0.571428571
594,1.181414195,0,-1.59790584,-0.428571429
595,1.217574256,0,-1.502224786,-0.285714286
596,1.182733808,0.142857143,-1.33806106,-0.142857143
597,1.153252738,0.285714286,-1.119024481,0
598,1.105104378,0.428571429,-0.875542164,0
599,1.281541279,0.571428571,-0.831546852,0
600,1.485281672,0.714285714,-0.845562935,0
601,1.814336777,0.857142857,-1.015124866,0
602,2.178709711,1,-1.229771069,0
603,2.470482418,1,-1.428969792,0
604,2.522492,1,-1.559592247,0
605,2.522995268,1,-1.67483357,0
606,2.333761488,1,-1.66324452,0
607,1.911197662,0.857142857,-1.507349287,0
608,1.431508473,0.714285714,-1.301632472,0
609,0.875695842,0.571428571,-1.045255797,0
610,0.260379314,0.428571429,-0.699843543,0
611,0,0.285714286,-0.444820574,0
612,0,0.142857143,-0.284477302,0
613,0,0,-0.107846737,0
614,0,0,0,0
615,0,0,0,0
616,0,0,0,0
617,0,0,0,0
618,0,0,0,0
619,0,0,0,0
620,0,0,0,0
621,0,0,0,0
622,0,0,0,0
623,0,0,0,0
624,0,0,0,0
625,0,0,0,0
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,0,0,0
631,0,0,0,0
632,0,0,0,0
633,0,0,0,0
634,0,0,0,0
635,0,0,0,0
636,0,0,0,0
637,0,0,0,0
638,0,0,-0.145728316,0
639,0.114564317,0,-0.370381764,0
640,0.369222266,0,-0.576254436,0
641,0.680070741,0,-0.931028911,0
642,0.904648985,0,-1.18009104,0
643,0.544534002,0,-0.949985095,0
644,0.133683205,0,-0.643607344,0
645,0,0,-0.327897004,0
646,0,0,-0.151306425,0
647,0,0,0,0
648,0,0,0,0
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,0,0,0,0
657,0,0,0,0
658,0,0,0,0
659,0,0,0,0
660,0,0,-0.054172482,0
661,0,0,-0.286087343,0
662,0,0,-0.627844538,0
663,0,0,-1.175885064,0
664,0.092244898,0,-1.397516796,-0.142857143
665,0.094367164,0,-1.429011481,-0.285714286
666,0.225969996,0,-1.588176864,-0.428571429
667,0.304899761,0,-1.733180319,-0.571428571
668,0.416608095,0,-1.889287676,-0.714285714
669,0.515032462,0,-2.056791578,-0.857142857
670,0.643137387,0,-2.235133307,-1
671,0.762527057,0,-2.408758708,-1
672,1.085632597,0.142857143,-2.72108732,-1
673,1.336452212,0.285714286,-3.01622309,-1
674,1.571035658,0.428571429,-3.31395231,-1
675,1.748367582,0.571428571,-3.527375902,-1
676,1.806635857,0.714285714,-3.611493519,-1
677,1.936000143,0.857142857,-3.58967999,-1
678,2.070201056,1,-3.561961038,-1
679,1.979550907,0.857142857,-3.38684627,-1
680,1.733438628,0.714285714,-2.989480427,-1
681,1.60367666,0.571428571,-2.687717438,-1
682,1.433154106,0.428571429,-2.394650051,-1
683,1.363769667,0.285714286,-2.209511076,-1
684,1.027912344,0.142857143,-1.9862457,-1
685,0.701421533,0,-1.799246379,-1
686,0.534301996,0,-1.736974171,-1
687,0.486396279,0,-1.788785934,-0.857142857
688,0.392169271,0,-1.80239405,-0.714285714
689,0.431744269,0,-1.98455865,-0.714285714
690,0.520431076,0,-2.196813311,-0.714285714
691,0.708259991,0,-2.437030247,-0.714285714
692,0.927160876,0,-2.641999653,-0.714285714
693,0.996107101,0,-2.743983677,-0.714285714
694,1.093885354,0,-2.852051871,-0.857142857
695,1.004726206,0,-2.714717048,-1
696,0.835943903,0,-2.392689296,-0.857142857
697,0.500571728,0,-1.966719491,-0.714285714
698,0.379755974,0,-1.751553672,-0.571428571
699,0.339564119,0,-1.675895691,-0.428571429
700,0.399844681,0,-1.648481914,-0.285714286
701,0.348225491,0,-1.547195435,-0.142857143
702,0.499272994,0,-1.667799268,0
703,0.615074021,0,-1.817647389,0
704,0.885794299,0,-2.079178674,0
705,1.038436822,0,-2.190670831,0
706,1.008285522,0,-2.150031499,0
707,0.976098742,0,-2.140517099,0
708,1.099319867,0,-2.275140626,0
709,1.103267806,0,-2.304533005,0
710,1.186650685,0,-2.364325115,0
711,1.190670831,0,-2.336798259,0
712,1.050613131,0,-2.160077231,0
713,0.956675802,0,-1.961862292,0
714,0.949845859,0,-1.754076821,0
715,0.856404849,0,-1.487759726,0
716,0.977970055,0,-1.44153595,0
717,1.036369664,0,-1.420322146,-0.142857143
718,1.283637456,0,-1.573820387,-0.285714286
719,1.591078894,0,-1.821895327,-0.428571429
720,1.842313494,0,-2.069663048,-0.571428571
721,1.922085353,0,-2.278012412,-0.714285714
722,2.067591531,0,-2.557694026,-0.857142857
723,2.024327006,0,-2.60062245,-1
724,2.144924164,0,-2.631444659,-1
725,1.9427948,0,-2.388401576,-1
726,1.704674857,0,-2.127457619,-1
727,1.541940825,0,-1.875004496,-0.857142857
728,1.462609564,0,-1.672306606,-0.714285714
729,1.379537719,0,-1.425425938,-0.571428571
730,1.368536949,0,-1.325945173,-0.428571429
731,1.100984437,0,-1.166221074,-0.285714286
732,0.92265892,0,-1.086759908,-0.142857143
733,0.790361541,0,-1.095641749,0
734,0.687995774,0,-1.133806705,0
735,0.637419837,0,-1.199045726,0
736,0.550647667,0,-1.235283988,0
737,0.394001041,0,-1.194666726,0
